
,right,left,jump,jumpUp,leftUp,rightUp
1,0.11823474802076817,0.8134941798634827,0.06827107211574912,0.9402231106068939,0.026513107120990753,0.03326378227211535
2,0.5410662477370352,0.04357306379824877,0.4153606884647161,0.6353131351061165,0.26501890970394015,0.09966795518994331
3,0.2184538475703448,0.228237857343629,0.5533082950860262,0.28989360062405467,0.2121479520574212,0.4979584473185241
4,0.1506539157126099,0.5772162000648677,0.2721298842225224,0.21606296859681606,0.05198387592099607,0.7319531554821879
5,0.734284247038886,0.11120944330468774,0.1545063096564263,0.17383107380010188,0.32265655999071896,0.5035123662091792
6,0.901518946280703,0.00953096873126924,0.08895008498802781,0.775112047791481,0.11027729557827115,0.11461065663024783
7,0.43964374903589487,0.1820843571331352,0.37827189383096993,0.34214230766519904,0.5532821100205183,0.10457558231428266
8,0.40859396010637283,0.412951682228595,0.17845435766503215,0.9768004007637501,0.006078999023884535,0.01712060021236539
9,0.5703339611645788,0.1249408214353025,0.3047252174001187,0.02933749509975314,0.3766397386789322,0.5940227662213147
10,0.9673328315839171,0.008932811906561255,0.023734356509521604,0.5862363346386701,0.3410052538383752,0.0727584115229547
11,0.1525682311039418,0.009222347754985094,0.8382094211410731,0.7550781480967999,0.11721943807788193,0.12770241382531822
12,0.9564797945786268,0.03761343192309141,0.0059067734982818365,0.4526641683187336,0.442722104024142,0.1046137276571244
13,0.322950936621055,0.6226751962676644,0.05437386711128056,0.7882461294066161,0.1251903409138322,0.08656352967955172
14,0.035390246193856,0.6971312682144344,0.2674784855917096,0.9260997981764376,0.057705718325451016,0.016194483498111367
15,0.4259276380762458,0.049270630115643144,0.5248017318081111,0.6029529355000705,0.19272745633497834,0.2043196081649512
16,0.6678269731346518,0.006553747458383441,0.3256192794069648,0.7056325494777411,0.12006602971814573,0.17430142080411315

,right,left,jump,jumpUp,leftUp,rightUp
1,0.5703339611645788,0.1249408214353025,0.3047252174001187,0.2644859390316174,0.19355429092864807,0.5419597700397346
2,0.2184538475703448,0.228237857343629,0.5533082950860262,0.03245529047392276,0.41666652457148473,0.5508781849545925
3,0.5410662477370352,0.04357306379824877,0.4153606884647161,0.44286931232308585,0.4048683449394467,0.1522623427374675
4,0.2184538475703448,0.228237857343629,0.5533082950860262,0.47220448255992453,0.15768163507384375,0.3701138823662318
5,0.4259276380762458,0.049270630115643144,0.5248017318081111,0.6029529355000705,0.19272745633497834,0.2043196081649512
6,0.4259276380762458,0.049270630115643144,0.5248017318081111,0.6029529355000705,0.19272745633497834,0.2043196081649512
7,0.5926963534329668,0.03867108856041508,0.36863255800661815,0.7625438388541601,0.1297496994505362,0.10770646169530367
8,0.619608237368162,0.007505099288356669,0.3728866633434813,0.5911905365268195,0.2466133041487571,0.16219615932442338
9,0.35274276048492353,0.189020961894339,0.45823627762073743,0.4660906253360344,0.14898088284136538,0.3849284918226002
10,0.2503574936025723,0.11273895214997111,0.6369035542474565,0.4104042191060978,0.3003392086326009,0.2892565722613013
11,0.22486394587227448,0.23493504816020802,0.5402010059675175,0.4104042191060978,0.3003392086326009,0.2892565722613013
12,0.4141224307979014,0.047905022558742405,0.5379725466433563,0.4660906253360344,0.14898088284136538,0.3849284918226002
13,0.4259276380762458,0.049270630115643144,0.5248017318081111,0.6029529355000705,0.19272745633497834,0.2043196081649512
14,0.4259276380762458,0.049270630115643144,0.5248017318081111,0.6029529355000705,0.19272745633497834,0.2043196081649512
15,0.5944093833566061,0.04786888498700614,0.3577217316563878,0.6833671100883595,0.12914761432497004,0.18748527558667047
16,0.612830684035482,0.006014039114151092,0.3811552768503669,0.6592728675224601,0.24760730875794726,0.09311982371959264

,right,left,jump,jumpUp,leftUp,rightUp
1,0.35274276048492353,0.189020961894339,0.45823627762073743,0.4660906253360344,0.14898088284136538,0.3849284918226002
2,0.35274276048492353,0.189020961894339,0.45823627762073743,0.4660906253360344,0.14898088284136538,0.3849284918226002
3,0.22486394587227448,0.23493504816020802,0.5402010059675175,0.5006752939161766,0.25435525818816557,0.24496944789565797
4,0.6196082373681621,0.00750509928835667,0.37288666334348136,0.5009733453351854,0.301036603017054,0.19799005164776048
5,0.35274276048492353,0.189020961894339,0.45823627762073743,0.4660906253360344,0.14898088284136538,0.3849284918226002
6,0.2184538475703448,0.228237857343629,0.5533082950860262,0.47220448255992453,0.15768163507384375,0.3701138823662318
7,0.4259276380762458,0.049270630115643144,0.5248017318081111,0.6029529355000705,0.19272745633497834,0.2043196081649512
8,0.4091915982383725,0.032534590277769865,0.5582738114838577,0.6029529355000705,0.19272745633497834,0.2043196081649512
9,0.4500040769378968,0.052055754178059466,0.49794016888404374,0.4660906253360344,0.14898088284136538,0.3849284918226002
10,0.32669344413541607,0.1750621585263978,0.49824439733818604,0.4660906253360344,0.14898088284136538,0.3849284918226002
11,0.35274276048492353,0.189020961894339,0.45823627762073743,0.4660906253360344,0.14898088284136538,0.3849284918226002
12,0.4141224307979014,0.047905022558742405,0.5379725466433563,0.4660906253360344,0.14898088284136538,0.3849284918226002
13,0.5703339611645788,0.1249408214353025,0.3047252174001187,0.45048024126927494,0.14460893801591024,0.40491082071481493
